wave5-confidence
name;group;Labour Unions;The Press;Womens Organizations;The Police;The Parliament;The Church;Political Parties;The Armed Forces;Television;The Government;The Civil Services
Argentina;SouthAmerica;0;0;0;0;0;1;0;0;0;0;0
Australia;Oceania;0;0;1;1;0;0;0;1;0;0;0
Brazil;SouthAmerica;0;0;1;0;0;1;0;1;0;0;1
Bulgaria;Europe;0;1;0;1;0;1;0;1;1;0;0
Canada;NorthAmerica;0;0;1;1;0;1;0;1;0;0;1
Chile;SouthAmerica;0;0;1;1;0;1;0;1;0;0;0
China;Asia;1;1;1;1;1;0;1;1;1;1;1
Taiwan;Asia;0;0;1;0;0;0;0;0;0;0;0
Colombia;SouthAmerica;0;0;0;0;0;1;0;1;0;1;0
Cyprus;Asia;0;0;0;1;0;1;0;1;0;1;1
Ethiopia;Africa;0;0;0;0;0;1;0;0;0;0;0
Finland;Europe;1;0;1;1;1;1;0;1;1;1;1
France;Europe;0;0;0;1;0;0;0;1;0;0;1
Georgia;Asia;0;0;0;0;0;1;0;1;0;0;0
Germany;Europe;0;0;1;1;0;0;0;1;0;0;0
Ghana;Africa;1;1;1;1;1;1;0;1;1;1;1
Guatemala;SouthAmerica;0;0;1;0;0;1;0;0;0;0;0
Hungary;Europe;0;0;1;0;0;0;0;0;0;0;0
India;Asia;1;1;1;1;1;1;0;1;1;1;1
Indonesia;Asia;0;1;1;1;0;1;0;1;1;1;1
Iran;Asia;0;0;0;1;0;1;0;1;0;0;0
Italy;Europe;0;0;0;1;0;1;0;1;0;0;0
Japan;Asia;0;1;0;1;0;0;0;1;1;0;0
Jordan;Asia;1;1;1;1;1;1;0;1;1;1;1
SouthKorea;Asia;0;1;1;1;0;0;0;1;1;0;1
Malaysia;Asia;1;1;1;1;1;1;1;1;1;1;1
Mali;Africa;1;1;1;1;1;1;0;1;1;1;1
Mexico;NorthAmerica;0;1;1;0;0;1;0;1;0;0;0
Moldova;Europe;0;0;0;0;0;1;0;0;1;0;0
Morocco;Europe;0;0;1;1;0;1;0;1;1;1;1
Netherlands;Europe;0;0;1;1;0;0;0;0;0;0;0
NewZealand;Oceania;0;0;0;1;0;0;0;1;0;0;0
Norway;Europe;1;0;1;1;1;1;0;1;0;1;1
Peru;SouthAmerica;0;0;0;0;0;1;0;0;0;0;0
Poland;Europe;0;0;1;0;0;1;0;1;0;0;0
Romania;Europe;0;0;0;0;0;1;0;1;1;0;0
Russia;Europe;0;0;1;0;0;1;0;1;0;0;1
Serbia;Europe;0;0;0;0;0;1;0;1;0;0;0
Vietnam;Asia;1;1;1;1;1;1;1;1;1;1;1
Slovenia;Europe;0;0;0;0;0;0;0;0;0;0;0
SouthAfrica;Africa;0;1;1;1;1;1;0;1;1;1;1
Spain;Europe;0;0;1;1;1;0;0;1;0;0;0
Sweden;Europe;1;0;0;1;1;1;0;0;1;0;1
Switzerland;Europe;0;0;1;1;1;0;0;1;0;1;1
Thailand;Asia;0;0;0;0;0;1;0;1;0;0;0
TrinidadandTobago;Africa;0;0;1;0;0;1;0;0;0;0;0
Turkey;Asia;0;0;1;1;1;1;0;1;0;1;1
Ukraine;Asia;0;0;1;0;0;1;0;1;1;0;0
UnitedKingdom;Europe;0;0;1;1;0;0;0;1;0;0;0
UnitedStates;NorthAmerica;0;0;1;1;0;1;0;1;0;0;0
BurkinaFaso;Africa;1;1;1;1;0;1;0;1;1;0;1
Uruguay;Europe;0;1;1;1;0;1;0;0;1;1;0
Zambia;Africa;0;0;1;0;0;1;0;1;1;0;0
